COUNT	TERM	LEMMA	POS_COUNTS
1620	marchait	marcher	VERB:1620
1618	servi	servir	VERB:1618
1617	avions	avoir	AUX:1360;VERB:257
1617	rendit	rendre	VERB:1617
1615	jetant	jeter	VERB:1615
1612	laissez	laisser	VERB:1612
1612	prend	prendre	VERB:1612
1612	élança	élancer	VERB:1612
1611	semaines	semaine	NOUN:1611
1610	conduit	conduire	VERB:1610
1609	baie	bai	NOUN:1609
1607	nouveaux	nouveau	ADJ:1601;NOUN:6
1603	connaît	connaître	VERB:1603
1599	rayons	rayon	NOUN:1599
1597	Donc	donc	ADV:1587;CCONJ:10
1596	Sans	sans	ADP:1595;NOUN:1
1596	prenez	prendre	VERB:1596
1595	eurent	avoir	VERB:1420;AUX:175
1594	tient	tenir	VERB:1594
1592	trouvaient	trouver	VERB:1592
1587	Vers	vers	ADP:1508;NOUN:79
1583	lignes	ligne	NOUN:1583
1573	froide	froid	ADJ:1573
1573	plaît	plaire	VERB:1573
1567	faudra	falloir	VERB:1567
1567	sourit	sourire	VERB:1567
1564	Allez	aller	VERB:1562;X:2
1564	sens	sentir	VERB:1564
1561	saisit	saisir	VERB:1561
1558	montrait	montrer	VERB:1558
1556	pensait	penser	VERB:1556
1554	montait	monter	VERB:1554
1551	montagnes	montagne	NOUN:1551
1549	Dites	dire	VERB:1547;NOUN:2
1549	côtés	côté	NOUN:1549
1547	suivait	suivre	VERB:1547
1544	projets	projet	NOUN:1544
1543	Lui	lui	PRON:1543
1539	perdue	perdre	VERB:1539
1537	traits	trait	NOUN:1536;ADJ:1
1534	manquait	manquer	VERB:1534
1532	souvenirs	souvenir	NOUN:1532
1531	Quoi	quoi	PRON:1531
1531	efforts	effort	NOUN:1531
1531	joues	joue	NOUN:1531
1531	secrets	secret	NOUN:1261;ADJ:270
1529	écoutait	écouter	VERB:1529
1527	revenait	revenir	VERB:1527
1526	compte	compter	VERB:1526
1521	membres	membre	NOUN:1521
1506	porté	porter	VERB:1506
1506	écoute	écouter	VERB:1506
1504	existe	exister	VERB:1504
1504	rencontré	rencontrer	VERB:1504
1494	droite	droit	ADJ:1494
1493	pure	pur	ADJ:1493
1490	Merci	merci	INTJ:1049;NOUN:441
1487	légère	léger	ADJ:1487
1487	noms	nom	NOUN:1487
1486	caché	cacher	VERB:1486
1484	continuait	continuer	VERB:1484
1482	pierres	pierre	NOUN:1482
1478	aie	avoir	AUX:969;VERB:509
1478	devenue	devenir	VERB:1478
1477	tourna	tourner	VERB:1477
1476	quelles	quel	DET:1476
1475	demie	demi	NOUN:1474;ADJ:1
1471	Voyez	voir	VERB:1470;AUX:1
1471	cherche	chercher	VERB:1471
1465	aperçu	apercevoir	VERB:1465
1465	comprenez	comprendre	VERB:1465
1465	têtes	tête	NOUN:1465
1462	maîtres	maître	NOUN:1439;ADJ:23
1461	aimez	aimer	VERB:1461
1459	État	état	NOUN:1450;VERB:3;ADJ:2;ADV:2;AUX:2
1458	retournant	retourner	VERB:1458
1454	Elles	elles	PRON:1454
1447	devez	devoir	VERB:1447
1446	reçut	recevoir	VERB:1446
1445	adressant	adresser	VERB:1445
1442	importe	importer	VERB:1442
1441	prisonniers	prisonnier	NOUN:1405;ADJ:36
1437	allais	aller	VERB:1437
1436	raisons	raison	NOUN:1436
1435	morts	mort	NOUN:1088;ADJ:347
1432	parla	parler	VERB:1432
1432	écus	écu	NOUN:1432
1431	sortait	sortir	VERB:1431
1423	essaya	essayer	VERB:1423
1421	sainte	saint	NOUN:848;ADJ:573
1420	Plus	plus	ADV:1420
1419	degrés	degré	NOUN:1419
1416	avoue	avouer	VERB:1416
1416	oiseaux	oiseau	NOUN:1416
1414	eus	avoir	VERB:1393;AUX:21
1411	atteint	atteindre	VERB:1411
1407	mise	mettre	VERB:1407
1403	soient	être	AUX:1290;VERB:113
1402	croit	croire	VERB:1402
1402	lois	loi	NOUN:1402
1401	ouverte	ouvrir	VERB:1401
1399	interrompit	interrompre	VERB:1399
1399	répétait	répéter	VERB:1399
1398	Mademoiselle	mademoiselle	NOUN:1398
1397	voyons	voir	VERB:1397
1392	fasse	faire	VERB:1142;AUX:250
1386	commence	commencer	VERB:1386
1384	hautes	haut	ADJ:1384
1381	gardes	garde	NOUN:1381
1378	habits	habit	NOUN:1378
1377	tenant	tenir	VERB:1377
1376	saurait	savoir	VERB:1376
1375	ancienne	ancien	ADJ:1367;NOUN:8
1375	avança	avancer	VERB:1375
1375	nuages	nuage	NOUN:1375
1370	âmes	âme	NOUN:1370
1369	sauvé	sauver	VERB:1369
1368	Adieu	adieu	NOUN:1368
1366	bêtes	bête	NOUN:1206;ADJ:160
1366	longs	long	ADJ:1366
1366	passions	passion	NOUN:1366
1366	produit	produire	VERB:1366
1363	trompé	tromper	VERB:1363
1362	comprenait	comprendre	VERB:1362
1362	obligé	obliger	VERB:1362
1361	paru	paraître	VERB:1361
1360	voulant	vouloir	VERB:1360
1359	D'abord	d'abord	ADV:1358;NOUN:1
1358	blessé	blesser	VERB:1358
1357	occupait	occuper	VERB:1357
1356	manières	manière	NOUN:1356
1354	fumée	fumé	NOUN:1352;ADJ:2
1353	doivent	devoir	VERB:1353
1352	demeura	demeurer	VERB:1352
1352	sorti	sortir	VERB:1352
1350	points	point	NOUN:1350
1347	disparut	disparaître	VERB:1347
1343	servait	servir	VERB:1343
